Customer,Item,Quantity
AT&T/NEW HORIZONS,TB/MTS 8000 Platform,2
AT&T/NEW HORIZONS,TB-6000A Transport Module,51
AT&T/NEW HORIZONS,T-Berd/MTS-5800,136
AT&T/NEW HORIZONS,Test Devices,230
AT&T/NEW HORIZONS,Ultra FED,286
AT&T/NEW HORIZONS,WiFi Smart Accessory,12
AT&T/NEW HORIZONS,WR Common,8
AT&T/NEW HORIZONS,WS 10G Trans/Regen,8
AT&T/NEW HORIZONS,WS 2.5G Trans/Regen,84
AT&T/SBC,BrightJack,14
AT&T/SBC,Digital Inspection & Test,13
AT&T/SBC,FST-2000,12
AT&T/SBC,FST-2310-DS3,11
AT&T/SBC,FST-2802 G,4
AT&T/SBC,HST-3000 SIMs,26
AT&T/SBC,HST-3000C-CE,123
AT&T/SBC,Repair,98
AT&T/SBC,SmartClass ADSL,5
AT&T/SBC,SmartClass Triple Play,5
AT&T/SBC,T-Berd/MTS-5800,5
AT&T/SBC,Test Devices,5
AT&T/SBC,Ultra FED,29
AT&T/SBC,WS 2.5G Trans/Regen,31
ATLANTIC BROADBAND,T-Berd/MTS-5800,18
ATLANTIC TELECONNECT,Digital Inspection & Test,1
ATRION COMMUNICATION RESOURCES,GigaStor,1
ATRION COMMUNICATION RESOURCES,NI - Maintenance,1
ATRION COMMUNICATION RESOURCES,NI - Professional Services,1
ATRION COMMUNICATION RESOURCES,Observer,1
ATX SERVICES,DSAM,3
ATX SERVICES,HCU1500,3
AURORA NETWORKS,Digital Inspection & Test,20
AUTHOR SOLUTIONS,nTAPs,1
AVAGO TECHNOLOGIES,Accessories,390
AVAGO TECHNOLOGIES,Advanced Signal Conditioning Modules,45
AVAGO TECHNOLOGIES,Analog Inspection & Test,9
AVAGO TECHNOLOGIES,Benchtop Inspection,6
AVAGO TECHNOLOGIES,CleanBlast,9
AVAGO TECHNOLOGIES,Digital Inspection & Test,33
AVAGO TECHNOLOGIES,"MAP-200 Chassis, Accessories & Software",66
AVAGO TECHNOLOGIES,Optical Switch Modules,6
AVAGO TECHNOLOGIES,OST,12
AVAGO TECHNOLOGIES,Probe Tips,48
AVAGO TECHNOLOGIES,Repair,45
AVAGO TECHNOLOGIES,XGIG - Other,26
AVANTEC,HST-3000 SIMs,4
AVANTEC,HST-3000C-CE,1
AVANTEC,TB/MTS-2000 Platform,7
AVIAT NETWORKS,HST-3000C,4
AVIAT NETWORKS,HST-3000C-CE,2
AWARD SOLUTIONS,T-Berd/MTS-5800,12
AWC SALES,SDA,2
AXISPOINT INC,RANAdvisor Product,6
AXISPOINT INC,RANAdvisor Services & Support,3
BACKLUND INVESTMENT,Repair,3
BAE SYSTEMS,Accessories,1
BAE SYSTEMS,Calibrations,9
BAE SYSTEMS,CleanBlast,8
BAE SYSTEMS,Repair,5
BAE SYSTEMS,TB/MTS-6000 Platform,10
BALUM,Spare Parts,1
BALUM,TrueSpeed,6
BARBIZON,Ethernet Network Management Tools,1
BARBIZON,Repair,3
BARLOW COMMUNICATIONS,NI - Maintenance,2
BAYRING COMMUNICATIONS,Probe Tips,2
BEIJING ORIENTAL JICHENG,Accessories,1
BEIJING ORIENTAL JICHENG,Certifier,8
BELL CANADA,Passive Chassis,1
BELL CANADA,Repair,3
BELL CANADA,Test Devices,14
BELL CANADA,WR 10G Trans/Regen,4
BENCHMARK ELECTRONICS,Common Product,8
BENCHMARK ELECTRONICS,Digital Inspection & Test,2
BENCHMARK ELECTRONICS,DSAM,3
BENCHMARK ELECTRONICS,FST-2310,1
BENCHMARK ELECTRONICS,HST-3000 SIMs,2
BENCHMARK ELECTRONICS,HST-3000C,1
BENCHMARK ELECTRONICS,HST-3000C-CE,1
BENCHMARK ELECTRONICS,PT Hardware,1
BENCHMARK ELECTRONICS,RCATS Product,2
BENCHMARK ELECTRONICS,Repair,4
BENCHMARK ELECTRONICS,SmartClass Triple Play,5
BENCHMARK ELECTRONICS,TB-6000A Transport Module,5
BENCHMARK ELECTRONICS,TestPad 2000,1
BENCHMARK ELECTRONICS,XGIG - Ethernet 10G,3
BENCHMARK ELECTRONICS,XGIG - Other,122
BENCHMARK ELECTRONICS,XGIG 5k - SAS/SATA 12G,5
BESTEL USA,T-Berd/MTS-5800,4
BHARTI AIRTEL,RANAdvisor Product,26
BHARTI AIRTEL,RANAdvisor Services & Support,10
BLACK BOX CORPORATION OF PENN,nTAPs,6
BLUESTREAM,Accessories,4
BLUESTREAM,Digital Inspection & Test,4
BLUESTREAM,Test Devices,4
BOEING,Accessories,2
BOEING,Analog Inspection & Test,2
BOEING,CleanBlast,10
BOEING,Probe Tips,40
BOEING,Repair,12
BOEING,Test Devices,2
BOICE.NET,GigaStor,3
BOICE.NET,NI - Maintenance,2
BONNEVILLE POWER ADMINISTRATION,Common Product,11
BONNEVILLE POWER ADMINISTRATION,TB-6000A Transport Module,11
BORDER STATES INDUSTRIES,HST-3000 SIMs,3
BORDER STATES INDUSTRIES,HST-3000C,12
BRAZOS TELEPHONE,Calibrations,4
BRAZOS TELEPHONE,Repair,4
BRESNAN COMMUNICATIONS,Repair,35
BRIGHT HOUSE NETWORKS,Calibrations,3
BRIGHT HOUSE NETWORKS,DSAM,38
BRIGHT HOUSE NETWORKS,HCU1500,16
BRIGHT HOUSE NETWORKS,HST-3000C,42
BRIGHT HOUSE NETWORKS,Repair,12
BRIGHT HOUSE NETWORKS,StrataSync,16
BROADBAND COMMUNICATION NETWORKS,Accessories,14
BROADBAND COMMUNICATION NETWORKS,Test Devices,11
BROADBAND INTEGRATION GROUP,MS-1400,1
BROADBAND PATH SOLUTIONS,SDA-5000,4
BROCADE,Repair,2
BROCADE,XGIG - FC 16G,1
BROCK SOLUTIONS,Repair,3
BROKEN ARROW COMMUNICATIONS,OTDR - FiberComplete modules,4
BRUCKNER SUPPLY,Hydra,1
BT GROUP,Digital Inspection & Test,1
BT GROUP,OTDR - FiberComplete modules,8
BT GROUP,TB-6000A Transport Module,8
BT GROUP,T-Berd/MTS-5800,29
BUCKEYE CABLE VISION,ONX-580,1
BUCKEYE CABLE VISION,Probe Tips,2
BUCKEYE CABLE VISION,VSE-1100,1
BUFETE TECNOLOGICO ABRAJAN RODRIGUEZ,Probe Tips,2
C MARK,HST-3000C-CE,2
CABLE & WIRELESS,Digital Inspection & Test,3
CABLE & WIRELESS,ONX-580,3
CABLE & WIRELESS,TB-6000A Transport Module,3
CABLE & WIRELESS,T-Berd/MTS-5800,10
CABLE MAN,DSAM,6
CABLE MAN,HCU1500,2
CABLE MAN,StrataSync,2
CABLE ONDA,DSAM,27
CABLE ONDA,HCU1500,11
CABLE ONDA,PathTrak,14
CABLE ONDA,StrataSync,8
CABLE ONDA,Test Devices,2
CABLE ONE,DSAM,120
CABLE ONE,HCU1500,110
CABLE ONE,ONX-580,2
CABLE ONE,PathTrak,180
CABLE ONE,Probe Tips,2
CABLE ONE,Repair,18
CABLE ONE,RPM-3000,32
CABLE ONE,StrataSync,6
CABLE SERVICES,Repair,2
CABLE TECH,DSAM,2
CABLE TEL SERVICES,SDA-5000,4
CABLE WIRING SPECIALISTS,DSAM,2
CABLE WIRING SPECIALISTS,Repair,3
CABLECOM,PathTrak,3
CABLEMAS,Accessories,4
CABLEMAS,DSAM,1
CABLEMAS,ONX-580,5
CABLEMAS,PathTrak,1
CABLEMAS,Probe Tips,4
CABLEMAS,RPM-3000,1
CABLEMAS,StrataSync,4
CABLEMAS,TB-6000A Transport Module,18
CABLEMAS,T-Berd/MTS-5800,16
CABLEMAS,Test Devices,5
CABLENETWORK ASSOCIATES,SDA-5500,1
CABLEVISION,DSAM,5
CABLEVISION,RANAdvisor Product,6
CACI,T-Berd/MTS-5800,30
CADEING,SmartClass Ethernet,3
CALIENT NETWORKS,Repair,15
CAN-EZ CONSTRUCTION,DSAM,4
CAN-EZ CONSTRUCTION,HCU1500,2
CAN-EZ CONSTRUCTION,StrataSync,2
CAPITAL COMMUNICATIONS SERVICES,Digital Inspection & Test,6
CARLISLE INTERCONNECT,Test Devices,2
CAT,SmartClass Ethernet,3
